epoch,loss,lr,acc,occ_iou
1,0.351424,0.00019877,0.0000,0.0000
2,0.177543,0.00019513,0.0000,0.0000
3,0.127478,0.00018916,0.0000,0.0000
4,0.111928,0.00018100,0.0000,0.0000
5,0.102981,0.00017086,0.9940,0.9540
6,0.097260,0.00015898,0.0000,0.0000
7,0.092913,0.00014567,0.0000,0.0000
8,0.090315,0.00013125,0.0000,0.0000
9,0.088382,0.00011607,0.0000,0.0000
10,0.086943,0.00010050,0.9938,0.9531
11,0.085714,0.00008493,0.0000,0.0000
12,0.084736,0.00006975,0.0000,0.0000
13,0.084018,0.00005533,0.0000,0.0000
14,0.083456,0.00004202,0.0000,0.0000
15,0.083001,0.00003014,0.9942,0.9558
16,0.082655,0.00002000,0.0000,0.0000
17,0.082378,0.00001184,0.0000,0.0000
18,0.082210,0.00000587,0.0000,0.0000
19,0.082103,0.00000223,0.0000,0.0000
20,0.082050,0.00020000,0.9942,0.9560
21,0.083417,0.00019969,0.0000,0.0000
22,0.082232,0.00019877,0.0000,0.0000
23,0.081093,0.00019725,0.0000,0.0000
24,0.080408,0.00019513,0.0000,0.0000
25,0.079684,0.00019243,0.9942,0.9559
26,0.079040,0.00018916,0.0000,0.0000
27,0.078456,0.00018534,0.0000,0.0000
28,0.078195,0.00018100,0.0000,0.0000
29,0.077738,0.00017616,0.0000,0.0000
30,0.077368,0.00017086,0.9944,0.9571
31,0.077047,0.00016512,0.0000,0.0000
32,0.077035,0.00015898,0.0000,0.0000
33,0.076820,0.00015249,0.0000,0.0000
34,0.076601,0.00014567,0.0000,0.0000
35,0.076359,0.00013858,0.9945,0.9581
36,0.076247,0.00013125,0.0000,0.0000
37,0.076040,0.00012373,0.0000,0.0000
38,0.075981,0.00011607,0.0000,0.0000
39,0.075833,0.00010831,0.0000,0.0000
40,0.075714,0.00010050,0.9943,0.9568
41,0.075610,0.00009269,0.0000,0.0000
42,0.075576,0.00008493,0.0000,0.0000
43,0.075433,0.00007727,0.0000,0.0000
44,0.075378,0.00006975,0.0000,0.0000
45,0.075309,0.00006242,0.9945,0.9578
46,0.075203,0.00005533,0.0000,0.0000
47,0.075136,0.00004851,0.0000,0.0000
48,0.075073,0.00004202,0.0000,0.0000
49,0.075003,0.00003588,0.0000,0.0000
50,0.074958,0.00003014,0.9946,0.9583
